outcode,Avg_Sold_Price_2024
M4,316225.6449814126
M14,334833.7932960894
EC1A,1057767.2413793104
BS6,543115.1208576998
M1,518486.1052631579
L7,364150.93617021275
B1,333176.46496815287
L6,125336.30179028133
B5,1048263.1486486486
E1,1106534.824411135
E14,994706.448275862
L1,423129.42091836734
B15,414366.5696969697
BS2,465444.3917050691
BS1,991105.1407035176
