,Address,City,Postcode,Price,Rooms,Link,DateLastUpdated,EstimatedAnnualRent,Gross_Yield_%,Net_Yield_%,Avg_Sold_Price_2024
135,"The Summit, Liverpool Baltic Triangle","Liverpool, UK",L1,250000.0,2,https://rightmove.co.uk/properties/164163536#/?channel=RES_BUY,2025-07-04,14132.307692307691,5.65,-0.03,423129.42091836734
136,"The Prestige, Liverpool City Centre","Liverpool, UK",L1,280000.0,2,https://rightmove.co.uk/properties/163921244#/?channel=RES_BUY,2025-06-28,14132.307692307691,5.05,-0.55,423129.42091836734
137,"The Prestige, Liverpool City Centre","Liverpool, UK",L1,250000.0,2,https://rightmove.co.uk/properties/163921226#/?channel=RES_BUY,2025-06-28,14132.307692307691,5.65,-0.03,423129.42091836734
138,"The Prestige, Liverpool City Centre","Liverpool, UK",L1,275000.0,2,https://rightmove.co.uk/properties/163821785#/?channel=RES_BUY,2025-06-26,14132.307692307691,5.14,-0.47,423129.42091836734
139,"Wapping Quay, Liverpool, Merseyside, L3","Liverpool, UK",L1,270000.0,1,https://rightmove.co.uk/properties/139612190#/?channel=RES_BUY,2025-06-25,11410.90909090909,4.23,-1.25,423129.42091836734
140,Liverpool City Centre Flat,"Liverpool, UK",L1,269950.0,2,https://rightmove.co.uk/properties/164724128#/?channel=RES_BUY,2025-06-25,14132.307692307691,5.24,-0.39,423129.42091836734
141,"Kenyon Steps, Liverpool, L1","Liverpool, UK",L1,260000.0,2,https://rightmove.co.uk/properties/163742585#/?channel=RES_BUY,2025-06-24,14132.307692307691,5.44,-0.22,423129.42091836734
142,"Water Street, Liverpool","Liverpool, UK",L1,280000.0,2,https://rightmove.co.uk/properties/159971768#/?channel=RES_BUY,2025-06-20,14132.307692307691,5.05,-0.55,423129.42091836734
143,Liverpool City Centre Investment,"Liverpool, UK",L1,299950.0,2,https://rightmove.co.uk/properties/163103093#/?channel=RES_BUY,2025-06-06,14132.307692307691,4.71,-0.83,423129.42091836734
144,"The Prestige, Liverpool City Centre","Liverpool, UK",L1,269950.0,2,https://rightmove.co.uk/properties/162772958#/?channel=RES_BUY,2025-06-03,14132.307692307691,5.24,-0.39,423129.42091836734
145,"Tower Building, Water Street, Liverpool","Liverpool, UK",L1,265000.0,2,https://rightmove.co.uk/properties/155848838#/?channel=RES_BUY,2025-06-02,14132.307692307691,5.33,-0.3,423129.42091836734
146,"Dockside Residences, Liverpool, Merseyside, L3","Liverpool, UK",L1,298375.0,2,https://rightmove.co.uk/properties/162527939#/?channel=RES_BUY,2025-05-28,14132.307692307691,4.74,-0.81,423129.42091836734
147,"Monarchs Quay, Liverpool, Merseyside, L3","Liverpool, UK",L1,298375.0,2,https://rightmove.co.uk/properties/162527096#/?channel=RES_BUY,2025-05-28,14132.307692307691,4.74,-0.81,423129.42091836734
148,"Dockside REsidences, Liverpool, Merseyside, L3","Liverpool, UK",L1,298375.0,2,https://rightmove.co.uk/properties/162528323#/?channel=RES_BUY,2025-05-28,14132.307692307691,4.74,-0.81,423129.42091836734
149,"Strand Street, Liverpool, Merseyside, L1","Liverpool, UK",L1,250000.0,2,https://rightmove.co.uk/properties/162432776#/?channel=RES_BUY,2025-05-26,14132.307692307691,5.65,-0.03,423129.42091836734
150,"Crump Street, Liverpool, Merseyside, L1","Liverpool, UK",L1,260000.0,2,https://rightmove.co.uk/properties/159565961#/?channel=RES_BUY,2025-05-22,14132.307692307691,5.44,-0.22,423129.42091836734
151,"L1 Boutique, Liverpool City Centre","Liverpool, UK",L7,250000.0,2,https://rightmove.co.uk/properties/163823072#/?channel=RES_BUY,2025-02-28,10252.0,4.1,-1.36,364150.9361702128
152,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,290000.0,2,https://rightmove.co.uk/properties/156393617#/?channel=RES_BUY,2025-01-02,10252.0,3.54,-1.84,364150.9361702128
153,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,285000.0,2,https://rightmove.co.uk/properties/156793514#/?channel=RES_BUY,2025-01-02,10252.0,3.6,-1.79,364150.9361702128
154,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,260000.0,2,https://rightmove.co.uk/properties/155826491#/?channel=RES_BUY,2024-12-25,10252.0,3.94,-1.49,364150.9361702128
155,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,281000.0,2,https://rightmove.co.uk/properties/155827538#/?channel=RES_BUY,2024-12-25,10252.0,3.65,-1.74,364150.9361702128
156,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,281000.0,2,https://rightmove.co.uk/properties/155963426#/?channel=RES_BUY,2024-12-25,10252.0,3.65,-1.74,364150.9361702128
157,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,281000.0,2,https://rightmove.co.uk/properties/155963720#/?channel=RES_BUY,2024-12-25,10252.0,3.65,-1.74,364150.9361702128
158,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,276000.0,2,https://rightmove.co.uk/properties/155963951#/?channel=RES_BUY,2024-12-25,10252.0,3.71,-1.69,364150.9361702128
159,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,281000.0,2,https://rightmove.co.uk/properties/156044114#/?channel=RES_BUY,2024-12-25,10252.0,3.65,-1.74,364150.9361702128
160,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,281000.0,2,https://rightmove.co.uk/properties/156045104#/?channel=RES_BUY,2024-12-25,10252.0,3.65,-1.74,364150.9361702128
161,"Seymour Street, Liverpool, Merseyside, L3","Liverpool, UK",L7,283000.0,2,https://rightmove.co.uk/properties/155827022#/?channel=RES_BUY,2024-12-12,10252.0,3.62,-1.77,364150.9361702128
162,"Falkner Square, Liverpool, Merseyside, L8","Liverpool, UK",L7,250000.0,2,https://rightmove.co.uk/properties/152596181#/?channel=RES_BUY,2024-09-18,10252.0,4.1,-1.36,364150.9361702128
163,"Fully Managed Liverpool Apartment, City Centre","Liverpool, UK",L7,250000.0,2,https://rightmove.co.uk/properties/160406363#/?channel=RES_BUY,2024-07-02,10252.0,4.1,-1.36,364150.9361702128
164,"Oldham Street, LIVERPOOL","Liverpool, UK",L7,250000.0,2,https://rightmove.co.uk/properties/96554287#/?channel=RES_BUY,2022-05-09,10252.0,4.1,-1.36,364150.9361702128
165,"Richmond Row, Liverpool, L3","Liverpool, UK",L6,257000.0,2,https://rightmove.co.uk/properties/158266013#/?channel=RES_BUY,2025-04-09,9661.09090909091,3.76,-1.65,125336.30179028132
166,"Waverley House, Cathedral Walk, Bristol, BS1","Bristol, UK",BS1,250000.0,1,https://rightmove.co.uk/properties/163493378#/?channel=RES_BUY,2025-07-15,15087.692307692309,6.04,0.3,991105.1407035176
167,"Sugar Store, Cabot Mews, Bristol","Bristol, UK",BS1,285000.0,2,https://rightmove.co.uk/properties/164360474#/?channel=RES_BUY,2025-07-22,18645.0,6.54,0.73,991105.1407035176
168,"French Yard, Bristol, BS1","Bristol, UK",BS1,275000.0,1,https://rightmove.co.uk/properties/162915023#/?channel=RES_BUY,2025-07-21,15087.692307692309,5.49,-0.17,991105.1407035176
169,"Pritchard Street, St Pauls","Bristol, UK",BS1,300000.0,2,https://rightmove.co.uk/properties/164358767#/?channel=RES_BUY,2025-07-21,18645.0,6.22,0.45,991105.1407035176
170,"Aberdeen Road, Bristol, Somerset, BS6","Bristol, UK",BS1,300000.0,1,https://rightmove.co.uk/properties/164738783#/?channel=RES_BUY,2025-07-21,15087.692307692309,5.03,-0.56,991105.1407035176
171,"Pembroke Road, Clifton, Bristol, BS8","Bristol, UK",BS1,300000.0,1,https://rightmove.co.uk/properties/164728265#/?channel=RES_BUY,2025-07-19,15087.692307692309,5.03,-0.56,991105.1407035176
172,"Invicta, Millennium Promenade, Bristol","Bristol, UK",BS1,250000.0,1,https://rightmove.co.uk/properties/164727032#/?channel=RES_BUY,2025-07-19,15087.692307692309,6.04,0.3,991105.1407035176
173,"Cotham Grove, Cotham, Bristol, BS6","Bristol, UK",BS1,300000.0,2,https://rightmove.co.uk/properties/164710922#/?channel=RES_BUY,2025-07-18,18645.0,6.22,0.45,991105.1407035176
174,"Belgrave Road, Clifton, Bristol, BS8","Bristol, UK",BS1,290000.0,1,https://rightmove.co.uk/properties/164710856#/?channel=RES_BUY,2025-07-18,15087.692307692309,5.2,-0.41,991105.1407035176
175,Portland Square | St Pauls,"Bristol, UK",BS1,274000.0,2,https://rightmove.co.uk/properties/161949137#/?channel=RES_BUY,2025-07-18,18645.0,6.8,0.96,991105.1407035176
176,"Southleigh Road, Bristol, BS8","Bristol, UK",BS1,270000.0,1,https://rightmove.co.uk/properties/157993328#/?channel=RES_BUY,2025-07-18,15087.692307692309,5.59,-0.08,991105.1407035176
177,"Colston Street, Bristol","Bristol, UK",BS1,285000.0,2,https://rightmove.co.uk/properties/164687597#/?channel=RES_BUY,2025-07-18,18645.0,6.54,0.73,991105.1407035176
178,The Old Drill Hall,"Bristol, UK",BS1,270000.0,2,https://rightmove.co.uk/properties/164655209#/?channel=RES_BUY,2025-07-17,18645.0,6.91,1.04,991105.1407035176
179,"St. Clements Court, St. Paul Street, Bristol, BS2","Bristol, UK",BS1,285000.0,2,https://rightmove.co.uk/properties/161527580#/?channel=RES_BUY,2025-07-17,18645.0,6.54,0.73,991105.1407035176
180,"Raleigh Road, Southville","Bristol, UK",BS1,300000.0,2,https://rightmove.co.uk/properties/164616515#/?channel=RES_BUY,2025-07-17,18645.0,6.22,0.45,991105.1407035176
181,"St. Lukes Hall, William Street, Bristol","Bristol, UK",BS1,300000.0,2,https://rightmove.co.uk/properties/164609348#/?channel=RES_BUY,2025-07-16,18645.0,6.22,0.45,991105.1407035176
182,"York Road, Bristol","Bristol, UK",BS1,270000.0,2,https://rightmove.co.uk/properties/160832384#/?channel=RES_BUY,2025-07-16,18645.0,6.91,1.04,991105.1407035176
183,"Hotwell Road, Bristol, BS8 4RY","Bristol, UK",BS1,300000.0,2,https://rightmove.co.uk/properties/161778536#/?channel=RES_BUY,2025-07-15,18645.0,6.22,0.45,991105.1407035176
184,Pembroke Road | Clifton,"Bristol, UK",BS1,275000.0,1,https://rightmove.co.uk/properties/164523854#/?channel=RES_BUY,2025-07-15,15087.692307692309,5.49,-0.17,991105.1407035176
185,"Stackpool Road, Southville, BRISTOL, BS3","Bristol, UK",BS1,290000.0,1,https://rightmove.co.uk/properties/156284717#/?channel=RES_BUY,2025-07-15,15087.692307692309,5.2,-0.41,991105.1407035176
186,"Balmoral House, Canons Way, Bristol, BS1","Bristol, UK",BS1,270000.0,2,https://rightmove.co.uk/properties/87079569#/?channel=RES_BUY,2025-07-15,18645.0,6.91,1.04,991105.1407035176
187,"5102, St James Barton, City Centre, Bristol","Bristol, UK",BS1,250000.0,1,https://rightmove.co.uk/properties/164580635#/?channel=RES_BUY,2025-07-14,15087.692307692309,6.04,0.3,991105.1407035176
188,"Thomas Lane, City Centre","Bristol, UK",BS1,285000.0,2,https://rightmove.co.uk/properties/162106895#/?channel=RES_BUY,2025-07-14,18645.0,6.54,0.73,991105.1407035176
189,"Crown & Anchor House, Sweetman Place, Bristol","Bristol, UK",BS1,255000.0,2,https://rightmove.co.uk/properties/164462057#/?channel=RES_BUY,2025-07-14,18645.0,7.31,1.39,991105.1407035176
190,"Dean Street, Bristol","Bristol, UK",BS2,265000.0,2,https://rightmove.co.uk/properties/87196416#/?channel=RES_BUY,2025-07-10,18000.0,6.79,0.95,465444.3917050691
191,"Loft House, Bishopston, Bristol","Bristol, UK",BS2,275000.0,1,https://rightmove.co.uk/properties/164777411#/?channel=RES_BUY,2025-07-21,12566.666666666666,4.57,-0.96,465444.3917050691
192,"Redland Grove, Bristol, Bristol, City of, BS6","Bristol, UK",BS2,290000.0,1,https://rightmove.co.uk/properties/156696662#/?channel=RES_BUY,2025-07-19,12566.666666666666,4.33,-1.16,465444.3917050691
193,"Berkeley Road, Bishopston, Bristol","Bristol, UK",BS2,269950.0,2,https://rightmove.co.uk/properties/162796538#/?channel=RES_BUY,2025-07-14,18000.0,6.67,0.84,465444.3917050691
194,"Richmond Street, Totterdown, Bristol","Bristol, UK",BS2,260000.0,1,https://rightmove.co.uk/properties/164421149#/?channel=RES_BUY,2025-07-11,12566.666666666666,4.83,-0.73,465444.3917050691
195,"Centrum, Goodhind Street, BS5","Bristol, UK",BS2,250000.0,2,https://rightmove.co.uk/properties/164403674#/?channel=RES_BUY,2025-07-11,18000.0,7.2,1.29,465444.3917050691
196,"Millennium Promenade, Bristol, BS1","Bristol, UK",BS2,260000.0,1,https://rightmove.co.uk/properties/164401415#/?channel=RES_BUY,2025-07-11,12566.666666666666,4.83,-0.73,465444.3917050691
197,"Ferry Street, Bristol","Bristol, UK",BS2,284000.0,2,https://rightmove.co.uk/properties/164191808#/?channel=RES_BUY,2025-07-11,18000.0,6.34,0.56,465444.3917050691
198,"Cabot24, St Pauls","Bristol, UK",BS6,295000.0,2,https://rightmove.co.uk/properties/162909200#/?channel=RES_BUY,2025-07-11,17290.0,5.86,0.15,543115.1208576998
199,"Colston Avenue, Bristol","Bristol, UK",BS6,295000.0,1,https://rightmove.co.uk/properties/87216558#/?channel=RES_BUY,2025-07-10,13380.0,4.54,-0.98,543115.1208576998
200,"Cotham Brow, Bristol, BS6","Bristol, UK",BS6,300000.0,2,https://rightmove.co.uk/properties/162625325#/?channel=RES_BUY,2025-07-10,17290.0,5.76,0.07,543115.1208576998
201,"City Road, Bristol, BS2","Bristol, UK",BS6,250000.0,2,https://rightmove.co.uk/properties/159878216#/?channel=RES_BUY,2025-07-10,17290.0,6.92,1.05,543115.1208576998
202,"Harwood Square, Horfield, BS7","Bristol, UK",BS6,290000.0,2,https://rightmove.co.uk/properties/161173673#/?channel=RES_BUY,2025-07-08,17290.0,5.96,0.24,543115.1208576998
203,"Montague Street, Stokes Croft","Bristol, UK",BS6,285000.0,2,https://rightmove.co.uk/properties/164259146#/?channel=RES_BUY,2025-07-07,17290.0,6.07,0.32,543115.1208576998
204,"Whiteladies Road, Bristol","Bristol, UK",BS6,300000.0,1,https://rightmove.co.uk/properties/164243186#/?channel=RES_BUY,2025-07-07,13380.0,4.46,-1.05,543115.1208576998
205,"Colston Street, City Centre","Bristol, UK",BS6,260000.0,2,https://rightmove.co.uk/properties/164155076#/?channel=RES_BUY,2025-07-04,17290.0,6.65,0.82,543115.1208576998
206,"Bullard Close, Bristol, BS6","Bristol, UK",BS6,250000.0,1,https://rightmove.co.uk/properties/164153087#/?channel=RES_BUY,2025-07-04,13380.0,5.35,-0.29,543115.1208576998
207,"Armidale Place, Montpelier","Bristol, UK",BS6,275000.0,2,https://rightmove.co.uk/properties/161356931#/?channel=RES_BUY,2025-07-03,17290.0,6.29,0.51,543115.1208576998
208,"Whiteladies Road, Bristol","Bristol, UK",BS6,250000.0,2,https://rightmove.co.uk/properties/162672281#/?channel=RES_BUY,2025-07-01,17290.0,6.92,1.05,543115.1208576998
209,"Springfield Avenue, Ashley Down, Bristol, BS7","Bristol, UK",BS6,265000.0,2,https://rightmove.co.uk/properties/163919876#/?channel=RES_BUY,2025-06-28,17290.0,6.52,0.72,543115.1208576998
